regen start 05:59:00
codewiki: loading indexed files
codewiki: loading symbols for 448 files
codewiki: fetching graph edges for 448 files and 8664 symbols (limit 5000)
codewiki: loading leading content chunks
codewiki: reading metadata and hashing snapshot
codewiki: reusing file doc file 34/372 crates/gcode/src/commands/graph/payload.rs
codewiki: generating file doc file 35/372 crates/gcode/src/commands/graph/reads.rs
codewiki: generating file doc file 36/372 crates/gcode/src/commands/graph/tests.rs
codewiki: reusing file doc file 37/372 crates/gcode/src/commands/grep.rs
codewiki: reusing file doc file 38/372 crates/gcode/src/commands/grep/grep_matcher.rs
codewiki: reusing file doc file 39/372 crates/gcode/src/commands/index.rs
codewiki: reusing file doc file 40/372 crates/gcode/src/commands/init.rs
codewiki: reusing file doc file 41/372 crates/gcode/src/commands/mod.rs
codewiki: reusing file doc file 42/372 crates/gcode/src/commands/scope.rs
codewiki: reusing file doc file 43/372 crates/gcode/src/commands/search.rs
codewiki: generating file doc file 44/372 crates/gcode/src/commands/setup.rs
codewiki: reusing file doc file 45/372 crates/gcode/src/commands/status.rs
codewiki: reusing file doc file 46/372 crates/gcode/src/commands/symbol_at.rs
codewiki: reusing file doc file 47/372 crates/gcode/src/commands/symbols.rs
codewiki: reusing file doc file 48/372 crates/gcode/src/commands/vector.rs
codewiki: reusing file doc file 49/372 crates/gcode/src/config.rs
codewiki: reusing file doc file 50/372 crates/gcode/src/config/context.rs
codewiki: reusing file doc file 51/372 crates/gcode/src/config/services.rs
codewiki: reusing file doc file 52/372 crates/gcode/src/config/tests.rs
codewiki: generating file doc file 53/372 crates/gcode/src/contract.rs
codewiki: reusing file doc file 54/372 crates/gcode/src/db/mod.rs
codewiki: reusing file doc file 55/372 crates/gcode/src/db/queries.rs
codewiki: reusing file doc file 56/372 crates/gcode/src/db/resolution.rs
codewiki: generating file doc file 57/372 crates/gcode/src/dispatch.rs
codewiki: reusing file doc file 58/372 crates/gcode/src/dispatch/tests.rs
codewiki: generating file doc file 59/372 crates/gcode/src/freshness.rs
codewiki: reusing file doc file 60/372 crates/gcode/src/git.rs
codewiki: reusing file doc file 61/372 crates/gcode/src/graph/code_graph.rs
codewiki: reusing file doc file 62/372 crates/gcode/src/graph/code_graph/connection.rs
codewiki: reusing file doc file 63/372 crates/gcode/src/graph/code_graph/lifecycle.rs
codewiki: reusing file doc file 64/372 crates/gcode/src/graph/code_graph/payload.rs
codewiki: reusing file doc file 65/372 crates/gcode/src/graph/code_graph/read.rs
codewiki: reusing file doc file 66/372 crates/gcode/src/graph/code_graph/tests.rs
codewiki: reusing file doc file 67/372 crates/gcode/src/graph/code_graph/write.rs
codewiki: reusing file doc file 68/372 crates/gcode/src/graph/mod.rs
codewiki: reusing file doc file 69/372 crates/gcode/src/graph/report.rs
codewiki: reusing file doc file 70/372 crates/gcode/src/graph/report/generation.rs
codewiki: reusing file doc file 71/372 crates/gcode/src/graph/report/loading.rs
codewiki: reusing file doc file 72/372 crates/gcode/src/graph/report/queries.rs
codewiki: reusing file doc file 73/372 crates/gcode/src/graph/report/render.rs
codewiki: reusing file doc file 74/372 crates/gcode/src/graph/report/rows.rs
codewiki: reusing file doc file 75/372 crates/gcode/src/graph/report/summary.rs
codewiki: reusing file doc file 76/372 crates/gcode/src/graph/report/tests.rs
codewiki: reusing file doc file 77/372 crates/gcode/src/graph/report/time.rs
codewiki: reusing file doc file 78/372 crates/gcode/src/graph/report/types.rs
codewiki: reusing file doc file 79/372 crates/gcode/src/graph/typed_query.rs
codewiki: reusing file doc file 80/372 crates/gcode/src/index/api.rs
codewiki: reusing file doc file 81/372 crates/gcode/src/index/chunker.rs
codewiki: reusing file doc file 82/372 crates/gcode/src/index/hasher.rs
codewiki: reusing file doc file 83/372 crates/gcode/src/index/import_resolution.rs
codewiki: reusing file doc file 84/372 crates/gcode/src/index/import_resolution/context.rs
codewiki: reusing file doc file 85/372 crates/gcode/src/index/import_resolution/helpers.rs
codewiki: reusing file doc file 86/372 crates/gcode/src/index/import_resolution/parser/go_rust.rs
codewiki: reusing file doc file 87/372 crates/gcode/src/index/import_resolution/parser/java_csharp.rs
codewiki: reusing file doc file 88/372 crates/gcode/src/index/import_resolution/parser/mod.rs
codewiki: reusing file doc file 89/372 crates/gcode/src/index/import_resolution/parser/php_kotlin.rs
codewiki: reusing file doc file 90/372 crates/gcode/src/index/import_resolution/parser/python_js.rs
codewiki: reusing file doc file 91/372 crates/gcode/src/index/import_resolution/parser/rest.rs
codewiki: reusing file doc file 92/372 crates/gcode/src/index/import_resolution/predicates.rs
codewiki: reusing file doc file 93/372 crates/gcode/src/index/import_resolution/tests.rs
codewiki: reusing file doc file 94/372 crates/gcode/src/index/indexer.rs
codewiki: reusing file doc file 95/372 crates/gcode/src/index/indexer/file.rs
codewiki: reusing file doc file 96/372 crates/gcode/src/index/indexer/freshness_probe.rs
codewiki: reusing file doc file 97/372 crates/gcode/src/index/indexer/lifecycle.rs
codewiki: reusing file doc file 98/372 crates/gcode/src/index/indexer/overlay.rs
codewiki: reusing file doc file 99/372 crates/gcode/src/index/indexer/pipeline.rs
codewiki: reusing file doc file 100/372 crates/gcode/src/index/indexer/sink.rs
codewiki: generating file doc file 101/372 crates/gcode/src/index/indexer/tests.rs
codewiki: reusing file doc file 102/372 crates/gcode/src/index/indexer/types.rs
codewiki: reusing file doc file 103/372 crates/gcode/src/index/indexer/util.rs
codewiki: reusing file doc file 104/372 crates/gcode/src/index/languages.rs
codewiki: reusing file doc file 105/372 crates/gcode/src/index/mod.rs
codewiki: reusing file doc file 106/372 crates/gcode/src/index/parser.rs
codewiki: reusing file doc file 107/372 crates/gcode/src/index/parser/calls.rs
codewiki: reusing file doc file 108/372 crates/gcode/src/index/parser/calls/ast.rs
codewiki: reusing file doc file 109/372 crates/gcode/src/index/parser/calls/dart_textual.rs
codewiki: reusing file doc file 110/372 crates/gcode/src/index/parser/calls/resolution.rs
codewiki: reusing file doc file 111/372 crates/gcode/src/index/parser/calls/shadowing.rs
codewiki: reusing file doc file 112/372 crates/gcode/src/index/parser/calls/text.rs
codewiki: reusing file doc file 113/372 crates/gcode/src/index/parser/tests.rs
codewiki: reusing file doc file 114/372 crates/gcode/src/index/security.rs
codewiki: reusing file doc file 115/372 crates/gcode/src/index/semantic.rs
codewiki: reusing file doc file 116/372 crates/gcode/src/index/walker.rs
codewiki: generating file doc file 117/372 crates/gcode/src/index_lock.rs
codewiki: reusing file doc file 118/372 crates/gcode/src/lib.rs
codewiki: reusing file doc file 119/372 crates/gcode/src/main.rs
codewiki: reusing file doc file 120/372 crates/gcode/src/models.rs
codewiki: reusing file doc file 121/372 crates/gcode/src/output.rs
codewiki: reusing file doc file 122/372 crates/gcode/src/progress.rs
codewiki: reusing file doc file 123/372 crates/gcode/src/project.rs
codewiki: reusing file doc file 124/372 crates/gcode/src/projection/mod.rs
codewiki: reusing file doc file 125/372 crates/gcode/src/projection/sync.rs
codewiki: reusing file doc file 126/372 crates/gcode/src/savings.rs
codewiki: generating file doc file 127/372 crates/gcode/src/schema.rs
codewiki: reusing file doc file 128/372 crates/gcode/src/search/fts.rs
codewiki: reusing file doc file 129/372 crates/gcode/src/search/fts/common.rs
codewiki: reusing file doc file 130/372 crates/gcode/src/search/fts/content.rs
codewiki: reusing file doc file 131/372 crates/gcode/src/search/fts/counts.rs
codewiki: reusing file doc file 132/372 crates/gcode/src/search/fts/graph.rs
codewiki: reusing file doc file 133/372 crates/gcode/src/search/fts/symbols.rs
codewiki: generating file doc file 134/372 crates/gcode/src/search/fts/tests.rs
codewiki: reusing file doc file 135/372 crates/gcode/src/search/graph_boost.rs
codewiki: reusing file doc file 136/372 crates/gcode/src/search/mod.rs
codewiki: reusing file doc file 137/372 crates/gcode/src/search/rrf.rs
codewiki: reusing file doc file 138/372 crates/gcode/src/secrets.rs
codewiki: reusing file doc file 139/372 crates/gcode/src/setup.rs
codewiki: reusing file doc file 140/372 crates/gcode/src/setup/contracts.rs
codewiki: reusing file doc file 141/372 crates/gcode/src/setup/ddl.rs
codewiki: reusing file doc file 142/372 crates/gcode/src/setup/identifiers.rs
codewiki: reusing file doc file 143/372 crates/gcode/src/setup/postgres.rs
codewiki: generating file doc file 144/372 crates/gcode/src/setup/tests.rs
codewiki: reusing file doc file 145/372 crates/gcode/src/setup/types.rs
codewiki: reusing file doc file 146/372 crates/gcode/src/skill.rs
codewiki: reusing file doc file 147/372 crates/gcode/src/utils.rs
codewiki: reusing file doc file 148/372 crates/gcode/src/vector/code_symbols.rs
codewiki: reusing file doc file 149/372 crates/gcode/src/vector/code_symbols/embedding.rs
codewiki: reusing file doc file 150/372 crates/gcode/src/vector/code_symbols/lifecycle.rs
codewiki: reusing file doc file 151/372 crates/gcode/src/vector/code_symbols/qdrant.rs
codewiki: reusing file doc file 152/372 crates/gcode/src/vector/code_symbols/repository.rs
codewiki: reusing file doc file 153/372 crates/gcode/src/vector/code_symbols/search.rs
codewiki: reusing file doc file 154/372 crates/gcode/src/vector/code_symbols/tests.rs
codewiki: reusing file doc file 155/372 crates/gcode/src/vector/code_symbols/types.rs
codewiki: reusing file doc file 156/372 crates/gcode/src/vector/mod.rs
codewiki: reusing file doc file 157/372 crates/gcode/src/visibility.rs
codewiki: reusing file doc file 158/372 crates/gcore/assets/docker-compose.services.yml
codewiki: reusing file doc file 159/372 crates/gcore/assets/postgres-pgsearch/version.json
codewiki: reusing file doc file 160/372 crates/gcore/src/ai/daemon.rs
codewiki: reusing file doc file 161/372 crates/gcore/src/ai/embeddings.rs
codewiki: reusing file doc file 162/372 crates/gcore/src/ai/mod.rs
codewiki: reusing file doc file 163/372 crates/gcore/src/ai/probe.rs
codewiki: reusing file doc file 164/372 crates/gcore/src/ai/text.rs
codewiki: reusing file doc file 165/372 crates/gcore/src/ai/transcription.rs
codewiki: reusing file doc file 166/372 crates/gcore/src/ai/vision.rs
codewiki: reusing file doc file 167/372 crates/gcore/src/ai_context.rs
codewiki: reusing file doc file 168/372 crates/gcore/src/ai_types.rs
codewiki: reusing file doc file 169/372 crates/gcore/src/bootstrap.rs
codewiki: reusing file doc file 170/372 crates/gcore/src/cli_contract.rs
codewiki: reusing file doc file 171/372 crates/gcore/src/codewiki_contract.rs
codewiki: reusing file doc file 172/372 crates/gcore/src/config/mod.rs
codewiki: reusing file doc file 173/372 crates/gcore/src/config/resolve.rs
codewiki: reusing file doc file 174/372 crates/gcore/src/config/tests.rs
codewiki: reusing file doc file 175/372 crates/gcore/src/config/types.rs
codewiki: reusing file doc file 176/372 crates/gcore/src/daemon_url.rs
codewiki: reusing file doc file 177/372 crates/gcore/src/degradation.rs
codewiki: reusing file doc file 178/372 crates/gcore/src/falkor.rs
codewiki: reusing file doc file 179/372 crates/gcore/src/graph_analytics.rs
codewiki: reusing file doc file 180/372 crates/gcore/src/indexing.rs
codewiki: reusing file doc file 181/372 crates/gcore/src/layered_config.rs
codewiki: reusing file doc file 182/372 crates/gcore/src/lib.rs
codewiki: reusing file doc file 183/372 crates/gcore/src/libpq.rs
codewiki: reusing file doc file 184/372 crates/gcore/src/local_backend.rs
codewiki: reusing file doc file 185/372 crates/gcore/src/postgres.rs
codewiki: reusing file doc file 186/372 crates/gcore/src/project.rs
codewiki: reusing file doc file 187/372 crates/gcore/src/provisioning/bootstrap.rs
codewiki: reusing file doc file 188/372 crates/gcore/src/provisioning/docker.rs
codewiki: reusing file doc file 189/372 crates/gcore/src/provisioning/hub.rs
codewiki: reusing file doc file 190/372 crates/gcore/src/provisioning/mod.rs
codewiki: reusing file doc file 191/372 crates/gcore/src/provisioning/tests.rs
codewiki: reusing file doc file 192/372 crates/gcore/src/qdrant.rs
codewiki: reusing file doc file 193/372 crates/gcore/src/qdrant/naming.rs
codewiki: reusing file doc file 194/372 crates/gcore/src/qdrant/tests.rs
codewiki: reusing file doc file 195/372 crates/gcore/src/search.rs
codewiki: reusing file doc file 196/372 crates/gcore/src/secrets.rs
codewiki: reusing file doc file 197/372 crates/gcore/src/setup.rs
codewiki: reusing file doc file 198/372 crates/ghook/schemas/diagnose-output.v2.schema.json
codewiki: reusing file doc file 199/372 crates/ghook/schemas/inbox-envelope.v1.schema.json
codewiki: reusing file doc file 200/372 crates/ghook/src/cli_config.rs
codewiki: reusing file doc file 201/372 crates/ghook/src/detach.rs
codewiki: generating file doc file 202/372 crates/ghook/src/diagnose.rs
codewiki: generating file doc file 203/372 crates/ghook/src/envelope.rs
codewiki: generating file doc file 204/372 crates/ghook/src/json_value.rs
codewiki: generating file doc file 205/372 crates/ghook/src/main.rs
codewiki: generating file doc file 206/372 crates/ghook/src/output.rs
codewiki: generating file doc file 207/372 crates/ghook/src/planned_shutdown.rs
codewiki: reusing file doc file 208/372 crates/ghook/src/source.rs
codewiki: reusing file doc file 209/372 crates/ghook/src/statusline.rs
codewiki: reusing file doc file 210/372 crates/ghook/src/terminal_context.rs
codewiki: reusing file doc file 211/372 crates/ghook/src/transport.rs
codewiki: reusing file doc file 212/372 crates/gloc/config.yaml
codewiki: reusing file doc file 213/372 crates/gloc/src/backend.rs
codewiki: reusing file doc file 214/372 crates/gloc/src/config.rs
codewiki: reusing file doc file 215/372 crates/gloc/src/exec.rs
codewiki: reusing file doc file 216/372 crates/gloc/src/main.rs
codewiki: reusing file doc file 217/372 crates/gsqz/config.yaml
codewiki: reusing file doc file 218/372 crates/gsqz/src/command_split.rs
codewiki: reusing file doc file 219/372 crates/gsqz/src/compressor.rs
codewiki: reusing file doc file 220/372 crates/gsqz/src/config.rs
codewiki: reusing file doc file 221/372 crates/gsqz/src/daemon.rs
codewiki: reusing file doc file 222/372 crates/gsqz/src/main.rs
codewiki: reusing file doc file 223/372 crates/gsqz/src/primitives/dedup.rs
codewiki: reusing file doc file 224/372 crates/gsqz/src/primitives/filter.rs
codewiki: reusing file doc file 225/372 crates/gsqz/src/primitives/group.rs
codewiki: reusing file doc file 226/372 crates/gsqz/src/primitives/match_output.rs
codewiki: reusing file doc file 227/372 crates/gsqz/src/primitives/mod.rs
codewiki: reusing file doc file 228/372 crates/gsqz/src/primitives/prose.rs
codewiki: reusing file doc file 229/372 crates/gsqz/src/primitives/replace.rs
codewiki: reusing file doc file 230/372 crates/gsqz/src/primitives/truncate.rs
codewiki: reusing file doc file 231/372 crates/gwiki/contract/gwiki.contract.json
codewiki: reusing file doc file 232/372 crates/gwiki/src/ai/chunk.rs
codewiki: reusing file doc file 233/372 crates/gwiki/src/ai/clients.rs
codewiki: reusing file doc file 234/372 crates/gwiki/src/ai/mod.rs
codewiki: reusing file doc file 235/372 crates/gwiki/src/ai/translate.rs
codewiki: reusing file doc file 236/372 crates/gwiki/src/api.rs
codewiki: reusing file doc file 237/372 crates/gwiki/src/audit.rs
codewiki: reusing file doc file 238/372 crates/gwiki/src/benchmark.rs
codewiki: reusing file doc file 239/372 crates/gwiki/src/citations.rs
codewiki: reusing file doc file 240/372 crates/gwiki/src/code_graph.rs
codewiki: reusing file doc file 241/372 crates/gwiki/src/collect.rs
codewiki: reusing file doc file 242/372 crates/gwiki/src/commands/ask.rs
codewiki: reusing file doc file 243/372 crates/gwiki/src/commands/ask/assembly.rs
codewiki: reusing file doc file 244/372 crates/gwiki/src/commands/ask/citation.rs
codewiki: reusing file doc file 245/372 crates/gwiki/src/commands/ask/evidence.rs
codewiki: reusing file doc file 246/372 crates/gwiki/src/commands/ask/narration.rs
codewiki: reusing file doc file 247/372 crates/gwiki/src/commands/ask/render.rs
codewiki: reusing file doc file 248/372 crates/gwiki/src/commands/ask/synthesis.rs
codewiki: reusing file doc file 249/372 crates/gwiki/src/commands/audit.rs
codewiki: reusing file doc file 250/372 crates/gwiki/src/commands/backlinks.rs
codewiki: reusing file doc file 251/372 crates/gwiki/src/commands/benchmark.rs
codewiki: reusing file doc file 252/372 crates/gwiki/src/commands/citation_quality.rs
codewiki: reusing file doc file 253/372 crates/gwiki/src/commands/citation_quality/contradictions.rs
codewiki: reusing file doc file 254/372 crates/gwiki/src/commands/collect.rs
codewiki: reusing file doc file 255/372 crates/gwiki/src/commands/compile.rs
codewiki: reusing file doc file 256/372 crates/gwiki/src/commands/export.rs
codewiki: reusing file doc file 257/372 crates/gwiki/src/commands/graph.rs
codewiki: reusing file doc file 258/372 crates/gwiki/src/commands/graph_context.rs
codewiki: reusing file doc file 259/372 crates/gwiki/src/commands/health.rs
codewiki: reusing file doc file 260/372 crates/gwiki/src/commands/index.rs
codewiki: reusing file doc file 261/372 crates/gwiki/src/commands/init.rs
codewiki: reusing file doc file 262/372 crates/gwiki/src/commands/librarian.rs
codewiki: reusing file doc file 263/372 crates/gwiki/src/commands/lint.rs
codewiki: reusing file doc file 264/372 crates/gwiki/src/commands/mod.rs
codewiki: reusing file doc file 265/372 crates/gwiki/src/commands/read.rs
codewiki: reusing file doc file 266/372 crates/gwiki/src/commands/refresh/candidate.rs
codewiki: reusing file doc file 267/372 crates/gwiki/src/commands/refresh/mod.rs
codewiki: reusing file doc file 268/372 crates/gwiki/src/commands/refresh/model.rs
codewiki: reusing file doc file 269/372 crates/gwiki/src/commands/refresh/render.rs
codewiki: reusing file doc file 270/372 crates/gwiki/src/commands/refresh/selection.rs
codewiki: reusing file doc file 271/372 crates/gwiki/src/commands/refresh/tests.rs
codewiki: reusing file doc file 272/372 crates/gwiki/src/commands/refresh/vault.rs
codewiki: reusing file doc file 273/372 crates/gwiki/src/commands/review_report.rs
codewiki: reusing file doc file 274/372 crates/gwiki/src/commands/search.rs
codewiki: reusing file doc file 275/372 crates/gwiki/src/commands/setup.rs
codewiki: reusing file doc file 276/372 crates/gwiki/src/commands/sources.rs
codewiki: reusing file doc file 277/372 crates/gwiki/src/commands/status.rs
codewiki: reusing file doc file 278/372 crates/gwiki/src/commands/trust.rs
codewiki: reusing file doc file 279/372 crates/gwiki/src/compile/collect.rs
codewiki: reusing file doc file 280/372 crates/gwiki/src/compile/index.rs
codewiki: reusing file doc file 281/372 crates/gwiki/src/compile/mod.rs
codewiki: reusing file doc file 282/372 crates/gwiki/src/compile/render.rs
codewiki: reusing file doc file 283/372 crates/gwiki/src/compile/tests.rs
codewiki: reusing file doc file 284/372 crates/gwiki/src/contract.rs
codewiki: reusing file doc file 285/372 crates/gwiki/src/credibility.rs
codewiki: reusing file doc file 286/372 crates/gwiki/src/daemon.rs
codewiki: reusing file doc file 287/372 crates/gwiki/src/document.rs
codewiki: reusing file doc file 288/372 crates/gwiki/src/error.rs
codewiki: reusing file doc file 289/372 crates/gwiki/src/explainer.rs
codewiki: reusing file doc file 290/372 crates/gwiki/src/exports.rs
codewiki: reusing file doc file 291/372 crates/gwiki/src/falkor_graph.rs
codewiki: reusing file doc file 292/372 crates/gwiki/src/frontmatter.rs
codewiki: reusing file doc file 293/372 crates/gwiki/src/graph/analytics.rs
codewiki: reusing file doc file 294/372 crates/gwiki/src/graph/context.rs
codewiki: reusing file doc file 295/372 crates/gwiki/src/graph/export.rs
codewiki: reusing file doc file 296/372 crates/gwiki/src/graph/mod.rs
codewiki: reusing file doc file 297/372 crates/gwiki/src/health.rs
codewiki: reusing file doc file 298/372 crates/gwiki/src/indexer.rs
codewiki: generating file doc file 299/372 crates/gwiki/src/ingest/audio.rs
codewiki: reusing file doc file 300/372 crates/gwiki/src/ingest/document/html.rs
codewiki: reusing file doc file 301/372 crates/gwiki/src/ingest/document/mod.rs
codewiki: reusing file doc file 302/372 crates/gwiki/src/ingest/document/office.rs
codewiki: reusing file doc file 303/372 crates/gwiki/src/ingest/document/render.rs
codewiki: reusing file doc file 304/372 crates/gwiki/src/ingest/document/tests.rs
codewiki: reusing file doc file 305/372 crates/gwiki/src/ingest/file.rs
codewiki: reusing file doc file 306/372 crates/gwiki/src/ingest/git.rs
codewiki: reusing file doc file 307/372 crates/gwiki/src/ingest/image.rs
codewiki: reusing file doc file 308/372 crates/gwiki/src/ingest/mediawiki.rs
codewiki: reusing file doc file 309/372 crates/gwiki/src/ingest/mod.rs
codewiki: reusing file doc file 310/372 crates/gwiki/src/ingest/pdf/ingest.rs
codewiki: reusing file doc file 311/372 crates/gwiki/src/ingest/pdf/markdown.rs
codewiki: reusing file doc file 312/372 crates/gwiki/src/ingest/pdf/mod.rs
codewiki: reusing file doc file 313/372 crates/gwiki/src/ingest/pdf/render.rs
codewiki: reusing file doc file 314/372 crates/gwiki/src/ingest/pdf/tests.rs
codewiki: reusing file doc file 315/372 crates/gwiki/src/ingest/pdf/text.rs
codewiki: reusing file doc file 316/372 crates/gwiki/src/ingest/pdf/types.rs
codewiki: reusing file doc file 317/372 crates/gwiki/src/ingest/url.rs
codewiki: reusing file doc file 318/372 crates/gwiki/src/ingest/video/assets.rs
codewiki: reusing file doc file 319/372 crates/gwiki/src/ingest/video/metadata.rs
codewiki: reusing file doc file 320/372 crates/gwiki/src/ingest/video/mod.rs
codewiki: generating file doc file 321/372 crates/gwiki/src/ingest/video/processing.rs
codewiki: reusing file doc file 322/372 crates/gwiki/src/ingest/video/tests.rs
codewiki: reusing file doc file 323/372 crates/gwiki/src/ingest/wayback.rs
codewiki: reusing file doc file 324/372 crates/gwiki/src/lib.rs
codewiki: reusing file doc file 325/372 crates/gwiki/src/librarian.rs
codewiki: reusing file doc file 326/372 crates/gwiki/src/links.rs
codewiki: reusing file doc file 327/372 crates/gwiki/src/lint.rs
codewiki: reusing file doc file 328/372 crates/gwiki/src/log.rs
codewiki: reusing file doc file 329/372 crates/gwiki/src/main.rs
codewiki: reusing file doc file 330/372 crates/gwiki/src/markdown.rs
codewiki: reusing file doc file 331/372 crates/gwiki/src/media.rs
codewiki: generating file doc file 332/372 crates/gwiki/src/models.rs
codewiki: generating file doc file 333/372 crates/gwiki/src/output.rs
codewiki: generating file doc file 334/372 crates/gwiki/src/paths.rs
codewiki: generating file doc file 335/372 crates/gwiki/src/provenance.rs
codewiki: generating file doc file 336/372 crates/gwiki/src/registry.rs
codewiki: generating file doc file 337/372 crates/gwiki/src/runner.rs
codewiki: generating file doc file 338/372 crates/gwiki/src/schema.rs
codewiki: reusing file doc file 339/372 crates/gwiki/src/scope.rs
codewiki: reusing file doc file 340/372 crates/gwiki/src/search/bm25.rs
codewiki: reusing file doc file 341/372 crates/gwiki/src/search/graph_boost.rs
codewiki: reusing file doc file 342/372 crates/gwiki/src/search/mod.rs
codewiki: reusing file doc file 343/372 crates/gwiki/src/search/rrf.rs
codewiki: reusing file doc file 344/372 crates/gwiki/src/search/semantic.rs
codewiki: reusing file doc file 345/372 crates/gwiki/src/session.rs
codewiki: reusing file doc file 346/372 crates/gwiki/src/setup.rs
codewiki: reusing file doc file 347/372 crates/gwiki/src/sources/atomic.rs
codewiki: reusing file doc file 348/372 crates/gwiki/src/sources/manifest.rs
codewiki: reusing file doc file 349/372 crates/gwiki/src/sources/mod.rs
codewiki: reusing file doc file 350/372 crates/gwiki/src/sources/render.rs
codewiki: reusing file doc file 351/372 crates/gwiki/src/sources/tests.rs
codewiki: reusing file doc file 352/372 crates/gwiki/src/sources/types.rs
codewiki: reusing file doc file 353/372 crates/gwiki/src/store.rs
codewiki: reusing file doc file 354/372 crates/gwiki/src/support/config.rs
codewiki: reusing file doc file 355/372 crates/gwiki/src/support/counts.rs
codewiki: reusing file doc file 356/372 crates/gwiki/src/support/env.rs
codewiki: reusing file doc file 357/372 crates/gwiki/src/support/graph.rs
codewiki: reusing file doc file 358/372 crates/gwiki/src/support/mod.rs
codewiki: reusing file doc file 359/372 crates/gwiki/src/support/postgres.rs
codewiki: reusing file doc file 360/372 crates/gwiki/src/support/scope.rs
codewiki: reusing file doc file 361/372 crates/gwiki/src/support/search.rs
codewiki: reusing file doc file 362/372 crates/gwiki/src/support/text.rs
codewiki: reusing file doc file 363/372 crates/gwiki/src/support/time.rs
codewiki: reusing file doc file 364/372 crates/gwiki/src/synthesis.rs
codewiki: generating file doc file 365/372 crates/gwiki/src/transcribe.rs
codewiki: reusing file doc file 366/372 crates/gwiki/src/vault.rs
codewiki: generating file doc file 367/372 crates/gwiki/src/vector.rs
codewiki: generating file doc file 368/372 crates/gwiki/src/video.rs
codewiki: generating file doc file 369/372 crates/gwiki/src/vision.rs
codewiki: generating file doc file 370/372 docs/evidence/wiki-parity-2026-06/wp3-compile-explainer-v2.json
codewiki: generating file doc file 371/372 docs/evidence/wiki-parity-2026-06/wp3-compile-explainer.json
codewiki: generating file doc file 372/372 docs/evidence/wiki-parity-2026-06/wp3-search-sources.json
codewiki: generating module docs
codewiki: generating module doc module 1/67 crates/gcode/src/commands/codewiki/build_parts
codewiki: generating module doc module 2/67 crates/gcode/src/commands/codewiki/text
codewiki: generating module doc module 3/67 crates/gcode/src/index/import_resolution/parser
codewiki: generating module doc module 4/67 crates/gcode/src/index/parser/calls
codewiki: generating module doc module 5/67 crates/gcode/src/commands/codewiki
codewiki: generating module doc module 6/67 crates/gcode/src/commands/graph
codewiki: generating module doc module 7/67 crates/gcode/src/commands/grep
